merged_pdf_id,merged_pdf_path,page,image_path,label,source_doc_path,source_doc_index,source_page_in_doc
merged_00001,data/synthetic/merged_pdfs/merged_00001.pdf,1,data/synthetic/page_images/merged_00001/page_0001.png,SINGLE_PAGE_DOC,artifacts/source_validation/filtered_pdfs/2KPPNYIT75S3H25JKEWTMQ7WRNCCTMJM.pdf,1,1
merged_00001,data/synthetic/merged_pdfs/merged_00001.pdf,2,data/synthetic/page_images/merged_00001/page_0002.png,SINGLE_PAGE_DOC,artifacts/source_validation/filtered_pdfs/CTCGFUXUY5OISRT3B3UIQKMWPXEVKAUU.pdf,2,1
merged_00003,data/synthetic/merged_pdfs/merged_00003.pdf,1,data/synthetic/page_images/merged_00003/page_0001.png,START_DOC,artifacts/source_validation/filtered_pdfs/NID6HIGF64OZ77COJT2FESRENBE6R6KM.pdf,1,1
merged_00003,data/synthetic/merged_pdfs/merged_00003.pdf,2,data/synthetic/page_images/merged_00003/page_0002.png,END_DOC,artifacts/source_validation/filtered_pdfs/NID6HIGF64OZ77COJT2FESRENBE6R6KM.pdf,1,2
merged_00003,data/synthetic/merged_pdfs/merged_00003.pdf,3,data/synthetic/page_images/merged_00003/page_0003.png,SINGLE_PAGE_DOC,artifacts/source_validation/filtered_pdfs/2SFC5QHEHUKZAZANWGTNYNCLR6KHKDS2.pdf,2,1
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,1,data/synthetic/page_images/merged_00004/page_0001.png,START_DOC,artifacts/source_validation/filtered_pdfs/AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT.pdf,1,1
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,2,data/synthetic/page_images/merged_00004/page_0002.png,MIDDLE_DOC,artifacts/source_validation/filtered_pdfs/AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT.pdf,1,2
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,3,data/synthetic/page_images/merged_00004/page_0003.png,MIDDLE_DOC,artifacts/source_validation/filtered_pdfs/AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT.pdf,1,3
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,4,data/synthetic/page_images/merged_00004/page_0004.png,END_DOC,artifacts/source_validation/filtered_pdfs/AOSZGPMOO45NZWZW33KQ6GJTNMFZREWT.pdf,1,4
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,5,data/synthetic/page_images/merged_00004/page_0005.png,START_DOC,artifacts/source_validation/filtered_pdfs/KEBLLGBMZREVDB7T2U5TCKFY3JLVKR4O.pdf,2,1
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,6,data/synthetic/page_images/merged_00004/page_0006.png,MIDDLE_DOC,artifacts/source_validation/filtered_pdfs/KEBLLGBMZREVDB7T2U5TCKFY3JLVKR4O.pdf,2,2
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,7,data/synthetic/page_images/merged_00004/page_0007.png,MIDDLE_DOC,artifacts/source_validation/filtered_pdfs/KEBLLGBMZREVDB7T2U5TCKFY3JLVKR4O.pdf,2,3
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,8,data/synthetic/page_images/merged_00004/page_0008.png,MIDDLE_DOC,artifacts/source_validation/filtered_pdfs/KEBLLGBMZREVDB7T2U5TCKFY3JLVKR4O.pdf,2,4
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,9,data/synthetic/page_images/merged_00004/page_0009.png,MIDDLE_DOC,artifacts/source_validation/filtered_pdfs/KEBLLGBMZREVDB7T2U5TCKFY3JLVKR4O.pdf,2,5
merged_00004,data/synthetic/merged_pdfs/merged_00004.pdf,10,data/synthetic/page_images/merged_00004/page_0010.png,END_DOC,artifacts/source_validation/filtered_pdfs/KEBLLGBMZREVDB7T2U5TCKFY3JLVKR4O.pdf,2,6
merged_00005,data/synthetic/merged_pdfs/merged_00005.pdf,1,data/synthetic/page_images/merged_00005/page_0001.png,SINGLE_PAGE_DOC,artifacts/source_validation/filtered_pdfs/MBYNVOAVDILB2AZ6AU7FGZA3BWG3XXZ4.pdf,1,1
merged_00005,data/synthetic/merged_pdfs/merged_00005.pdf,2,data/synthetic/page_images/merged_00005/page_0002.png,START_DOC,artifacts/source_validation/filtered_pdfs/RH7T2UORLNLLG7HRFR3HL7W572F5S6YY.pdf,2,1
merged_00005,data/synthetic/merged_pdfs/merged_00005.pdf,3,data/synthetic/page_images/merged_00005/page_0003.png,MIDDLE_DOC,artifacts/source_validation/filtered_pdfs/RH7T2UORLNLLG7HRFR3HL7W572F5S6YY.pdf,2,2
merged_00005,data/synthetic/merged_pdfs/merged_00005.pdf,4,data/synthetic/page_images/merged_00005/page_0004.png,MIDDLE_DOC,artifacts/source_validation/filtered_pdfs/RH7T2UORLNLLG7HRFR3HL7W572F5S6YY.pdf,2,3
